,tvec,N,E,phi,psi,u,v,r,Azi,RPM
0,0.0,442.6296456852701,-3512.008524463332,0.4910838766101683,83.97640189826862,5.355801408129055,0.17521613930174165,-0.08463562680495589,-0.0399467386305332,170.82761086642063
1,0.5,442.73037070863086,-3510.641769702615,0.5193590921307029,83.91327721988604,5.358426003299722,0.1745874800318098,-0.09222671965125252,-0.0399467386305332,170.75205120563763
2,1.0,442.8310957319917,-3509.275014941987,0.5460470311951845,83.85114641714536,5.361050598470388,0.17395882076187794,-0.09981781249754916,-0.0399467386305332,170.67649154485466
3,1.5,443.0300526169471,-3506.6403890793695,0.5684434446113403,83.79439273085873,5.363675193641055,0.17333016149194608,-0.09029821280871769,-0.03755151846294419,170.60093188407168
4,2.0,443.23483684078246,-3503.9305501931217,0.5743959888993185,83.7487612046531,5.367048352110614,0.17270150222201422,-0.08035785537046122,-0.035077117297599596,170.52537222328868
5,2.5,443.4467301935094,-3501.1892332050215,0.5628174470880495,83.72023634723305,5.370780289245695,0.1720728429520824,-0.06417077504833947,-0.03651176546936133,170.46258637663703
6,3.0,443.6591586427769,-3498.44554689119,0.5512389052767804,83.691711489813,5.374512226380774,0.17144418368215053,-0.047750412926124294,-0.03815215390605901,170.66471830437698
7,3.5,443.8715870920444,-3495.70186057727,0.5396603634655114,83.66995260668327,5.377049991912208,0.17060890143635443,-0.03608695728997225,-0.039792542342756684,170.8668502321169
8,4.0,444.08401554131194,-3492.9581742634387,0.5280818216542422,83.64862559381476,5.379555880144096,0.1697663467640112,-0.028675889837890677,-0.0399467386305332,171.06898215985683
9,4.5,444.30459398190817,-3490.2167624412505,0.506676469876692,83.62729858094626,5.382061768375985,0.168923792091668,-0.021264822385809103,-0.0399467386305332,171.11203889638762
10,5.0,444.52567422743346,-3487.475490662324,0.46255882714900143,83.60597156807776,5.384567656607874,0.16808123741932476,-0.013853754933727529,-0.0399467386305332,171.15084926874022
11,5.5,444.74733608651314,-3484.7420552705944,0.4378873259537373,83.59388448660556,5.387942445445148,0.1672386827469815,-0.008630918387539672,-0.0399467386305332,171.18965964109282
12,6.0,444.969033756668,-3482.0091023747373,0.4144131474974304,83.58539071552708,5.391362966076866,0.1663961280746383,-0.005778665141585681,-0.0399467386305332,171.22847001344542
13,6.5,445.1907314268229,-3479.276149478969,0.3909389690411236,83.5768969444486,5.394779516349255,0.16805249933245145,-0.0029264118956316906,-0.0399467386305332,171.26728038579802
14,7.0,445.4124290961857,-3476.5431965831117,0.39267978119838176,83.56790334846094,5.396214713421967,0.16975467607609587,-7.415864967770004e-05,-0.0399467386305332,171.30609075815062
15,7.5,445.83995094573294,-3471.2367400112157,0.4164246933717046,83.55675093036439,5.39764991049468,0.17140286532092353,-0.010376420266933984,-0.04075369214681753,171.34490113050322
